Id,SalePrice
1461,124771.22289156627
1462,158424.63707571803
1463,175333.3109540636
1464,192952.12413793104
1465,206794.45594713656
1466,173932.96703296702
1467,161197.87234042553
1468,165693.90291262136
1469,199778.64285714287
1470,125362.831300813
1471,254367.2474489796
1472,133295.9125475285
1473,132416.1295180723
1474,165371.53693181818
1475,137789.24594594594
1476,430607.3121019108
1477,273194.0376940133
1478,325035.503875969
1479,291949.89668615983
1480,460881.00770416023
1481,324685.96268656716
1482,238014.26717557252
1483,171633.91540785498
1484,190808.2238095238
1485,214157.71794871794
1486,214157.71794871794
1487,322788.263030303
1488,261154.50611790878
1489,212989.77777777778
1490,233092.90225563908
1491,220468.2162162162
1492,122216.30275229357
1493,174042.22838137473
1494,305412.0389105058
1495,314727.0389221557
1496,269160.0
1497,194181.77199281869
1498,196307.19776119402
1499,194218.12101910828
1500,179146.42857142858
1501,185884.9128205128
1502,189186.84210526315
1503,316029.69483568077
1504,260526.21875
1505,241557.40932642488
1506,163995.5046511628
1507,258273.91967044285
1508,168397.2118959108
1509,141069.13679245283
1510,134846.94623655913
1511,138472.16574585636
1512,168397.2118959108
1513,137789.24594594594
1514,172776.22727272726
1515,187618.9
1516,150195.14285714287
1517,172500.34492753624
1518,144014.022587269
1519,252586.10819672132
1520,128674.91588785047
1521,133175.15290519877
1522,157660.17647058822
1523,125362.831300813
1524,123190.45936395759
1525,124793.43571428572
1526,128601.58375634518
1527,128581.6408839779
1528,136720.03649635037
1529,134846.94623655913
1530,142312.76119402985
1531,144646.0606060606
1532,128674.91588785047
1533,138411.67213114753
1534,135024.18181818182
1535,165373.23361823361
1536,126710.80544747082
1537,127604.06696428571
1538,175099.0054200542
1539,209250.12068965516
1540,140129.47472527472
1541,143223.51690821256
1542,142779.36842105264
1543,202105.67213114753
1544,133260.07407407407
1545,124771.22289156627
1546,136720.03649635037
1547,154621.81981981982
1548,136943.1424148607
1549,125367.99174917492
1550,139486.71921182267
1551,135815.29411764705
1552,157484.2196531792
1553,192745.0
1554,133233.47704081633
1555,178178.19130434783
1556,140916.4624505929
1557,133175.15290519877
1558,124793.43571428572
1559,137695.0158730159
1560,140916.4624505929
1561,153928.6347826087
1562,140039.1090909091
1563,128674.91588785047
1564,150265.5976331361
1565,150753.58146067415
1566,234099.2911392405
1567,120960.75524475524
1568,221761.41296928326
1569,154765.5891472868
1570,142779.36842105264
1571,141198.47234042553
1572,141069.13679245283
1573,257404.0663507109
1574,132955.7441860465
1575,257324.8086124402
1576,246613.48732718895
1577,207146.54684095862
1578,141776.87790697673
1579,141776.87790697673
1580,180808.82954545456
1581,167530.17475728155
1582,127603.68902439025
1583,328952.16481069045
1584,238014.26717557252
1585,186770.5744680851
1586,128601.58375634518
1587,123190.45936395759
1588,141069.13679245283
1589,124565.23448275862
1590,134930.51408450704
1591,125367.99174917492
1592,135887.8031496063
1593,130952.34332425069
1594,193674.15454545454
1595,140220.900990099
1596,202105.67213114753
1597,167607.19112627985
1598,202851.94680851063
1599,239616.9870550162
1600,230949.0357142857
1601,119581.05882352941
1602,124771.22289156627
1603,121665.5396039604
1604,298918.9705882353
1605,266633.87378640776
1606,148762.97422680413
1607,183763.02325581395
1608,252659.5864022663
1609,188297.85388127854
1610,154621.81981981982
1611,137879.3650793651
1612,169612.53608247422
1613,158402.49401197606
1614,136943.1424148607
1615,127884.02061855671
1616,126710.80544747082
1617,125611.83333333333
1618,133086.34365325078
1619,153928.6347826087
1620,180722.53012048194
1621,140641.42480211082
1622,137908.45287356322
1623,274943.4601226994
1624,213335.1914893617
1625,128719.10460251046
1626,153337.11538461538
1627,178178.19130434783
1628,288218.45625
1629,181726.55248618784
1630,326329.59620596207
1631,239393.32919254657
1632,239393.32919254657
1633,183861.20401337792
1634,176960.19798657717
1635,179169.10335917314
1636,165269.32198142415
1637,165373.23361823361
1638,231735.17056856188
1639,163322.94444444444
1640,260774.7619047619
1641,153378.77011494254
1642,230949.0357142857
1643,230658.3479452055
1644,252260.95703125
1645,181270.12422360247
1646,135688.6224489796
1647,139616.63473053894
1648,132416.1295180723
1649,134846.94623655913
1650,128205.88235294117
1651,133616.83474576272
1652,133175.15290519877
1653,133260.07407407407
1654,152147.89830508476
1655,141984.93859649124
1656,147910.70220588235
1657,153337.11538461538
1658,157660.17647058822
1659,136943.1424148607
1660,144184.35430463575
1661,460051.9191919192
1662,368070.9913043478
1663,369651.8072289157
1664,462619.8299319728
1665,332997.0975609756
1666,318398.58006718924
1667,377591.35983263596
1668,334956.7012195122
1669,324225.1782945736
1670,348028.610619469
1671,273611.7739032621
1672,453836.10970464133
1673,332483.92718446604
1674,273194.0376940133
1675,201987.78798586573
1676,202851.94680851063
1677,241557.40932642488
1678,425832.43345111894
1679,370179.5873786408
1680,331281.35135135136
1681,310428.68079800496
1682,317825.6787564767
1683,227594.6779661017
1684,204811.00628930816
1685,184196.15492957746
1686,204159.28846153847
1687,196291.05825242717
1688,217774.338028169
1689,222761.99356913182
1690,211635.96993987975
1691,204159.28846153847
1692,282106.0699300699
1693,187638.071875
1694,171883.39701492537
1695,170360.02887139108
1696,281362.1261829653
1697,167920.79831932773
1698,341707.79439252336
1699,324768.83501259447
1700,248046.9081885856
1701,274717.7507723996
1702,268030.36486486485
1703,283091.76241134753
1704,293852.8051948052
1705,272323.70264765783
1706,426421.7815602837
1707,229448.24561403508
1708,234703.6224489796
1709,316029.69483568077
1710,235595.40609137056
1711,282218.97149643704
1712,263379.9659090909
1713,291798.1724137931
1714,245938.82720588235
1715,199281.95798319328
1716,208409.7142857143
1717,224493.6507936508
1718,157660.17647058822
1719,219694.15
1720,258442.74903474902
1721,229995.82040816327
1722,165371.53693181818
1723,167530.17475728155
